City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,25.03,100,75,3.6,CK,1690136541
1,puerto armuelles,8.2833,-82.8667,31.99,77,92,1.34,PA,1690136541
2,bethel,41.3712,-73.414,30.41,47,0,4.12,US,1690136542
3,san fernando,15.0286,120.6898,25.85,91,100,0.42,PH,1690136542
4,grytviken,-54.2811,-36.5092,-6.7,73,15,4.67,GS,1690136542
5,iqaluit,63.7506,-68.5145,9.85,71,40,5.36,CA,1690136542
6,porto velho,-8.7619,-63.9039,34.03,49,0,2.57,BR,1690136332
7,motueka,-41.1333,173.0167,8.39,90,94,2.58,NZ,1690136542
8,bilibino,68.0546,166.4372,16.45,69,100,0.92,RU,1690136542
9,kapuskasing,49.4169,-82.4331,27.05,47,75,5.66,CA,1690136543
10,blackmans bay,-43.0167,147.3167,9.18,78,92,1.89,AU,1690136543
11,kodiak,57.79,-152.4072,11.73,87,0,2.06,US,1690136543
12,punta arenas,-53.15,-70.9167,2.35,71,10,4.22,CL,1690136543
13,hue,16.4667,107.6,27.06,83,40,2.06,VN,1690136539
14,aasiaat,68.7098,-52.8699,3.5,98,100,3.0,GL,1690136544
15,west island,-12.1568,96.8225,24.99,83,95,7.2,CC,1690136544
16,aral,40.5156,81.2636,30.63,27,84,3.93,CN,1690136544
17,acapulco de juarez,16.8634,-99.8901,32.9,58,40,1.54,MX,1690136544
18,malvan,16.0667,73.4667,26.13,89,100,9.87,IN,1690136544
19,san patricio,28.017,-97.5169,37.31,38,0,2.6,US,1690136544
20,nuuk,64.1835,-51.7216,13.34,76,20,3.09,GL,1690136545
21,ola,59.5833,151.2833,11.75,91,100,1.1,RU,1690136545
22,nallihan,40.1859,31.3518,25.95,51,1,3.9,TR,1690136545
23,puerto natales,-51.7236,-72.4875,1.67,79,11,1.12,CL,1690136545
24,yellowknife,62.456,-114.3525,21.29,56,100,4.12,CA,1690136545
25,kabalo,-6.05,26.9167,28.29,32,8,1.96,CD,1690136545
26,fale old settlement,-9.3852,-171.2468,28.03,78,7,5.57,TK,1690136545
27,rikaze,29.25,88.8833,16.54,47,99,2.46,CN,1690136546
28,cidreira,-30.1811,-50.2056,24.05,66,71,1.93,BR,1690136546
29,waitangi,-43.9535,-176.5597,11.57,97,100,1.34,NZ,1690136546
30,tolanaro,-25.0319,46.9987,22.04,83,20,8.23,MG,1690136546
31,poronaysk,49.2167,143.1167,18.22,83,100,2.65,RU,1690136546
32,georgetown,5.4112,100.3354,27.96,91,20,0.0,MY,1690136381
33,olonkinbyen,70.9221,-8.7187,4.84,88,92,4.77,SJ,1690136547
34,adamstown,-25.066,-130.1015,20.5,71,9,8.54,PN,1690136547
35,gilgit,35.9221,74.3087,29.27,53,74,0.75,PK,1690136547
36,santana,-0.0583,-51.1817,33.1,52,20,4.12,BR,1690136547
37,ilulissat,69.2167,-51.1,10.01,76,75,2.06,GL,1690136547
38,anadyr,64.75,177.4833,12.28,93,100,1.0,RU,1690136548
39,gadzhiyevo,69.2551,33.3362,9.05,86,100,6.31,RU,1690136548
40,atafu village,-8.5421,-172.5159,28.3,78,4,6.53,TK,1690136548
41,whitehorse,60.7161,-135.0538,14.43,88,100,2.06,CA,1690136548
42,popondetta,-8.7537,148.2534,21.94,97,100,0.98,PG,1690136548
43,colonia,50.9333,6.95,21.87,71,100,5.66,DE,1690136545
44,enewetak,11.3474,162.3373,28.55,78,41,8.36,MH,1690136549
45,edinburgh of the seven seas,-37.0676,-12.3116,13.68,78,64,10.84,SH,1690136549
46,stanley,54.868,-1.6985,12.51,92,40,5.14,GB,1690136549
47,kachkanar,58.7,59.4948,14.34,70,66,1.75,RU,1690136549
48,labuan,5.2767,115.2417,26.2,88,20,0.0,MY,1690136549
49,pacific grove,36.6177,-121.9166,24.08,80,0,4.02,US,1690136549
50,qaqortoq,60.7167,-46.0333,11.98,77,100,2.19,GL,1690136550
51,kirensk,57.7853,108.1119,16.98,78,79,0.76,RU,1690136550
52,rudnichnyy,59.617,52.4703,14.45,79,92,2.27,RU,1690136550
53,pokhara,28.2333,83.9833,23.01,92,48,1.3,NP,1690136550
54,ancud,-41.8697,-73.8203,6.38,79,73,3.37,CL,1690136550
55,keetmanshoop,-26.5833,18.1333,14.24,13,99,3.73,NA,1690136405
56,yonggwang-up,40.0183,127.4547,21.7,90,84,1.48,KP,1690136551
57,vorgashor,67.5833,63.95,14.81,98,100,2.22,RU,1690136551
58,saipan,15.1355,145.701,28.39,100,0,4.12,MP,1690136551
59,lihue,21.9789,-159.3672,25.77,90,100,6.69,US,1690136287
60,longyearbyen,78.2186,15.6401,10.91,71,40,5.66,SJ,1690136551
61,santa cruz,-17.8,-63.1667,31.03,48,40,7.72,BO,1690136499
62,tiksi,71.6872,128.8694,4.6,73,95,2.12,RU,1690136552
63,ambon,-3.6954,128.1814,27.91,100,75,2.57,ID,1690136552
64,asparuhovo,43.3915,25.1255,25.12,53,29,3.5,BG,1690136552
65,port-aux-francais,-49.35,70.2167,6.25,82,81,17.69,TF,1690136552
66,hermanus,-34.4187,19.2345,9.33,77,53,4.03,ZA,1690136552
67,saudarkrokur,65.7461,-19.6394,10.33,95,100,0.37,IS,1690136552
68,sao luis,-2.5297,-44.3028,31.11,62,40,4.12,BR,1690136254
69,kayes,14.0,-11.0,31.83,58,62,3.11,ML,1690136553
70,uturoa,-16.7333,-151.4333,25.48,75,66,6.13,PF,1690136553
71,lompoc,34.6391,-120.4579,30.99,81,75,2.24,US,1690136553
72,ballston spa,43.0009,-73.849,30.4,47,0,1.34,US,1690136553
73,papatowai,-46.5619,169.4708,8.82,96,100,1.54,NZ,1690136553
74,hwange,-18.3693,26.5019,19.85,40,0,1.01,ZW,1690136554
75,nsanje,-16.92,35.262,20.57,53,1,1.18,MW,1690136554
76,kangding,30.0513,101.9603,16.62,99,100,0.6,CN,1690136554
77,menaka,15.9182,2.4022,37.52,30,13,1.23,ML,1690136554
78,maktar,35.858,9.2007,36.2,8,0,6.34,TN,1690136554
79,streetly,52.5833,-1.8833,20.31,75,20,2.06,GB,1690136555
80,sitka,57.0531,-135.33,13.94,88,100,2.57,US,1690136555
81,san julian,21.0167,-102.1667,24.74,39,100,4.17,MX,1690136555
82,namibe,-15.1961,12.1522,18.3,77,74,5.4,AO,1690136555
83,toro,4.6117,-76.0814,31.38,52,56,0.57,CO,1690136555
84,albany,42.6001,-73.9662,29.74,50,5,0.89,US,1690136555
85,petauke,-14.2426,31.3253,18.17,49,7,2.08,ZM,1690136556
86,geraldton,-28.7667,114.6,8.23,61,0,2.06,AU,1690136305
87,villa gesell,-37.2639,-56.973,12.81,69,33,5.58,AR,1690136556
88,labrador city,52.9463,-66.9114,19.95,77,75,2.57,CA,1690136556
89,ust'-ilimsk,58.0006,102.6619,17.75,73,78,1.32,RU,1690136461
90,gebeit,21.0667,36.3167,34.49,13,59,2.38,SD,1690136557
91,minas de marcona,-15.2119,-75.1103,17.87,61,42,4.73,PE,1690136557
92,astara,38.5,48.6667,24.99,58,32,0.19,AZ,1690136557
93,fabens,31.5023,-106.1586,34.04,28,85,1.21,US,1690136557
94,udachny,66.4167,112.4,20.25,59,83,1.24,RU,1690136557
95,hailin,44.5833,129.4167,20.08,91,12,6.2,CN,1690136557
96,nova sintra,14.8667,-24.7167,23.06,77,39,5.2,CV,1690136558
97,quellon,-43.1167,-73.6167,8.14,76,75,2.57,CL,1690136558
98,vieste,41.8825,16.175,28.51,73,0,1.75,IT,1690136558
99,wladyslawowo,54.7909,18.4009,17.53,90,100,2.35,PL,1690136456
100,fort bragg,35.139,-79.006,33.28,53,40,2.57,US,1690136558
101,leava,-14.3,-178.1667,26.48,72,38,7.04,WF,1690136558
102,the pas,53.8251,-101.2541,20.01,45,0,3.6,CA,1690136559
103,lebu,-37.6167,-73.65,10.34,79,100,3.62,CL,1690136559
104,talnakh,69.4865,88.3972,11.23,86,42,1.01,RU,1690136559
105,ulaangom,49.9811,92.0667,17.36,47,3,1.37,MN,1690136559
106,sept-iles,50.2001,-66.3821,21.7,88,75,2.57,CA,1690136559
107,puerto ayora,-0.7393,-90.3518,29.98,70,64,5.26,EC,1690136434
